"block_id","x","y","conifer","damage","stratum","fold"
123,567438.408450704,7020644.14081146,28.4,FALSE,"c3_d0",7
124,586919.028169014,7038567.64916468,23.1,FALSE,"c3_d0",7
125,552571.61971831,7028325.64439141,32.5,FALSE,"c3_d0",7
126,557185.450704225,7005793.23389022,22.5,FALSE,"c3_d0",6
127,582817.845070422,7028837.74463007,19.7,FALSE,"c3_d0",7
128,606399.647887324,6899276.38424821,18.1,FALSE,"c3_d0",8
129,579741.957746479,7022180.44152745,23.3,FALSE,"c3_d0",7
130,655613.845070423,6895691.68257757,24.4,FALSE,"c3_d0",8
131,555134.85915493,7005281.13365155,22.4,FALSE,"c3_d0",6
132,726871.90140845,6973018.81861575,28.5,TRUE,"c3_d1",6
133,665354.154929578,6986333.424821,16.5,TRUE,"c3_d1",8
134,571539.591549296,6899788.48448687,15.9,TRUE,"c3_d1",4
135,662278.267605634,6857284.1646778,35.6,TRUE,"c3_d1",2
136,603323.76056338,6881352.87589499,15.8,TRUE,"c3_d1",8
137,661252.971830986,6845505.85918855,28,TRUE,"c3_d1",1
138,669455.338028169,6990942.32696897,26.7,TRUE,"c3_d1",6
139,664328.85915493,6880328.67541766,25.7,TRUE,"c3_d1",8
140,642285,6899788.48448687,17.5,TRUE,"c3_d1",8
141,673043.873239437,6856259.96420048,24.4,TRUE,"c3_d1",2
142,720207.47887324,6973018.81861575,22,TRUE,"c3_d1",6
143,723796.014084507,6934611.30071599,15.9,TRUE,"c3_d1",5
144,674069.169014085,6857796.26491647,31,TRUE,"c3_d1",2
145,628443.507042254,6841409.05727924,21.3,TRUE,"c3_d1",1
146,648949.422535211,6886985.97852029,23.6,TRUE,"c3_d1",8
147,715081,6966361.51551313,34.3,TRUE,"c3_d1",5
148,713030.408450704,6827582.35083532,34.3,TRUE,"c3_d1",1
149,656126.492957746,6844481.65871122,15.9,TRUE,"c3_d1",1
150,631519.394366197,6834751.75417661,23.4,TRUE,"c3_d1",1
151,567438.408450704,6883913.3770883,27.3,TRUE,"c3_d1",4
152,615114.661971831,6881352.87589499,20,TRUE,"c3_d1",8
153,718156.887323944,6965849.41527446,22.9,TRUE,"c3_d1",5
154,714055.704225352,6963288.91408115,35.6,TRUE,"c3_d1",5
155,732511.028169014,6967897.81622912,22.8,TRUE,"c3_d1",5
156,637671.169014085,6892106.98090692,17.8,TRUE,"c3_d1",8
157,640234.408450704,6859332.56563246,29.7,TRUE,"c3_d1",3
158,668942.690140845,7018083.63961814,23.7,TRUE,"c3_d1",7
159,718156.887323944,6966873.61575179,29.9,TRUE,"c3_d1",5
160,721232.774647887,6964825.21479714,18.5,TRUE,"c3_d1",5
